scenario_type,scenario_name,source,published_date,parameter,sector,base_pd_increase_pct,multiplier,notes
eba_2025_adverse,EBA 2025 Adverse — Higher for Longer,EBA 2025 EU-Wide Stress Test,2025-01-15,combined,Manufacturing,19.8,1.1,Supply chain disruption + rate pressure
eba_2025_adverse,EBA 2025 Adverse — Higher for Longer,EBA 2025 EU-Wide Stress Test,2025-01-15,combined,Marketing Services,18.0,1.0,Discretionary budget cuts
eba_2025_adverse,EBA 2025 Adverse — Higher for Longer,EBA 2025 EU-Wide Stress Test,2025-01-15,combined,Transportation,18.0,1.0,Trade volume decline
eba_2025_adverse,EBA 2025 Adverse — Higher for Longer,EBA 2025 EU-Wide Stress Test,2025-01-15,combined,Logistics,18.0,1.0,Trade volume decline
eba_2025_adverse,EBA 2025 Adverse — Higher for Longer,EBA 2025 EU-Wide Stress Test,2025-01-15,combined,Software/Technology,14.4,0.8,Resilient — recurring revenue model
eba_2025_adverse,EBA 2025 Adverse — Higher for Longer,EBA 2025 EU-Wide Stress Test,2025-01-15,combined,Professional Services,12.6,0.7,Partially defensive
eba_2025_adverse,EBA 2025 Adverse — Higher for Longer,EBA 2025 EU-Wide Stress Test,2025-01-15,combined,Energy/Utilities,15.3,0.85,Regulated but macro-exposed
eba_2025_adverse,EBA 2025 Adverse — Higher for Longer,EBA 2025 EU-Wide Stress Test,2025-01-15,combined,Healthcare,10.8,0.6,Most defensive — non-discretionary demand
geopolitical,Geopolitical / Trade Tariffs,ESRB Geopolitical Risk Scenario 2025,2025-02-01,combined,Construction,9.0,1.5,Import cost inflation on materials
geopolitical,Geopolitical / Trade Tariffs,ESRB Geopolitical Risk Scenario 2025,2025-02-01,combined,Retail/Fashion,10.4,1.3,Supply chain disruption — import dependent
geopolitical,Geopolitical / Trade Tariffs,ESRB Geopolitical Risk Scenario 2025,2025-02-01,combined,Food/Hospitality,8.75,1.25,Food import costs and consumer squeeze
geopolitical,Geopolitical / Trade Tariffs,ESRB Geopolitical Risk Scenario 2025,2025-02-01,combined,Manufacturing,11.0,1.1,Export markets and input cost exposure
geopolitical,Geopolitical / Trade Tariffs,ESRB Geopolitical Risk Scenario 2025,2025-02-01,combined,Marketing Services,7.0,1.0,Reduced corporate spending
geopolitical,Geopolitical / Trade Tariffs,ESRB Geopolitical Risk Scenario 2025,2025-02-01,combined,Transportation,9.5,1.0,Trade route disruption
geopolitical,Geopolitical / Trade Tariffs,ESRB Geopolitical Risk Scenario 2025,2025-02-01,combined,Logistics,9.5,1.0,Trade route disruption
geopolitical,Geopolitical / Trade Tariffs,ESRB Geopolitical Risk Scenario 2025,2025-02-01,combined,Software/Technology,5.6,0.8,Relatively insulated — digital services
geopolitical,Geopolitical / Trade Tariffs,ESRB Geopolitical Risk Scenario 2025,2025-02-01,combined,Professional Services,4.9,0.7,Low trade exposure
geopolitical,Geopolitical / Trade Tariffs,ESRB Geopolitical Risk Scenario 2025,2025-02-01,combined,Energy/Utilities,8.5,0.85,Energy price volatility
geopolitical,Geopolitical / Trade Tariffs,ESRB Geopolitical Risk Scenario 2025,2025-02-01,combined,Healthcare,4.2,0.6,Defensive — domestic demand
climate_transition,Climate Transition Shock — Fit-for-55,ESRB Climate Transition Risk Scenario 2025,2025-02-15,combined,Construction,9.0,1.5,Carbon cost on materials and energy
climate_transition,Climate Transition Shock — Fit-for-55,ESRB Climate Transition Risk Scenario 2025,2025-02-15,combined,Retail/Fashion,5.2,0.8,Fast fashion carbon liability
climate_transition,Climate Transition Shock — Fit-for-55,ESRB Climate Transition Risk Scenario 2025,2025-02-15,combined,Food/Hospitality,7.5,1.4,Food production carbon costs + energy
climate_transition,Climate Transition Shock — Fit-for-55,ESRB Climate Transition Risk Scenario 2025,2025-02-15,combined,Manufacturing,9.9,1.1,Carbon pricing on heavy processes
climate_transition,Climate Transition Shock — Fit-for-55,ESRB Climate Transition Risk Scenario 2025,2025-02-15,combined,Marketing Services,3.5,0.7,Low carbon intensity
climate_transition,Climate Transition Shock — Fit-for-55,ESRB Climate Transition Risk Scenario 2025,2025-02-15,combined,Transportation,10.5,1.5,Fleet transition costs — highest exposure
climate_transition,Climate Transition Shock — Fit-for-55,ESRB Climate Transition Risk Scenario 2025,2025-02-15,combined,Logistics,10.5,1.5,Fleet transition costs — highest exposure
climate_transition,Climate Transition Shock — Fit-for-55,ESRB Climate Transition Risk Scenario 2025,2025-02-15,combined,Software/Technology,2.8,0.4,Low carbon intensity — digital
climate_transition,Climate Transition Shock — Fit-for-55,ESRB Climate Transition Risk Scenario 2025,2025-02-15,combined,Professional Services,2.1,0.3,Minimal physical asset base
climate_transition,Climate Transition Shock — Fit-for-55,ESRB Climate Transition Risk Scenario 2025,2025-02-15,combined,Energy/Utilities,12.75,1.5,Direct carbon pricing — stranded asset risk
climate_transition,Climate Transition Shock — Fit-for-55,ESRB Climate Transition Risk Scenario 2025,2025-02-15,combined,Healthcare,2.8,0.4,Low carbon intensity
sector_shock,Sector Shock — Construction,Internal Sector Stress Analysis,2025-01-01,construction,Construction,21.0,3.0,Targeted — direct sector shock
sector_shock,Sector Shock — Construction,Internal Sector Stress Analysis,2025-01-01,construction,Retail/Fashion,1.3,0.3,Spill-over only
sector_shock,Sector Shock — Construction,Internal Sector Stress Analysis,2025-01-01,construction,Food/Hospitality,1.25,0.3,Spill-over only
sector_shock,Sector Shock — Construction,Internal Sector Stress Analysis,2025-01-01,construction,Manufacturing,1.1,0.3,Spill-over only
sector_shock,Sector Shock — Construction,Internal Sector Stress Analysis,2025-01-01,construction,Marketing Services,1.0,0.3,Spill-over only
sector_shock,Sector Shock — Construction,Internal Sector Stress Analysis,2025-01-01,construction,Transportation,1.0,0.3,Spill-over only
sector_shock,Sector Shock — Construction,Internal Sector Stress Analysis,2025-01-01,construction,Logistics,1.0,0.3,Spill-over only
sector_shock,Sector Shock — Construction,Internal Sector Stress Analysis,2025-01-01,construction,Software/Technology,0.8,0.3,Spill-over only
sector_shock,Sector Shock — Construction,Internal Sector Stress Analysis,2025-01-01,construction,Professional Services,0.7,0.3,Spill-over only
sector_shock,Sector Shock — Construction,Internal Sector Stress Analysis,2025-01-01,construction,Energy/Utilities,0.85,0.3,Spill-over only
sector_shock,Sector Shock — Construction,Internal Sector Stress Analysis,2025-01-01,construction,Healthcare,0.6,0.3,Spill-over only
sector_shock,Sector Shock — Retail/Fashion,Internal Sector Stress Analysis,2025-01-01,retail,Construction,1.5,0.3,Spill-over only
sector_shock,Sector Shock — Retail/Fashion,Internal Sector Stress Analysis,2025-01-01,retail,Retail/Fashion,18.2,3.0,Targeted — direct sector shock
sector_shock,Sector Shock — Retail/Fashion,Internal Sector Stress Analysis,2025-01-01,retail,Food/Hospitality,1.25,0.3,Spill-over only
sector_shock,Sector Shock — Retail/Fashion,Internal Sector Stress Analysis,2025-01-01,retail,Manufacturing,1.1,0.3,Spill-over only
sector_shock,Sector Shock — Retail/Fashion,Internal Sector Stress Analysis,2025-01-01,retail,Marketing Services,1.0,0.3,Spill-over only
sector_shock,Sector Shock — Retail/Fashion,Internal Sector Stress Analysis,2025-01-01,retail,Transportation,1.0,0.3,Spill-over only
sector_shock,Sector Shock — Retail/Fashion,Internal Sector Stress Analysis,2025-01-01,retail,Logistics,1.0,0.3,Spill-over only
sector_shock,Sector Shock — Retail/Fashion,Internal Sector Stress Analysis,2025-01-01,retail,Software/Technology,0.8,0.3,Spill-over only
sector_shock,Sector Shock — Retail/Fashion,Internal Sector Stress Analysis,2025-01-01,retail,Professional Services,0.7,0.3,Spill-over only
sector_shock,Sector Shock — Retail/Fashion,Internal Sector Stress Analysis,2025-01-01,retail,Energy/Utilities,0.85,0.3,Spill-over only
sector_shock,Sector Shock — Retail/Fashion,Internal Sector Stress Analysis,2025-01-01,retail,Healthcare,0.6,0.3,Spill-over only
